Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 02:00:00,09/02/13 03:00:00,40
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 02:00:00,09/02/13 03:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 02:00:00,09/02/13 03:00:00,2554
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 02:00:00,09/02/13 03:00:00,912
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 03:00:00,09/02/13 04:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 03:00:00,09/02/13 04:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 03:00:00,09/02/13 04:00:00,144
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 03:00:00,09/02/13 04:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 03:00:00,09/02/13 04:00:00,3840
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 03:00:00,09/02/13 04:00:00,912
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 04:00:00,09/02/13 05:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 04:00:00,09/02/13 05:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 04:00:00,09/02/13 05:00:00,30
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 04:00:00,09/02/13 05:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 04:00:00,09/02/13 05:00:00,2832
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 04:00:00,09/02/13 05:00:00,1552
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 05:00:00,09/02/13 06:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 05:00:00,09/02/13 06:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 05:00:00,09/02/13 06:00:00,52
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 05:00:00,09/02/13 06:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 05:00:00,09/02/13 06:00:00,2041
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 05:00:00,09/02/13 06:00:00,912
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 06:00:00,09/02/13 07:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 06:00:00,09/02/13 07:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 06:00:00,09/02/13 07:00:00,7156
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 06:00:00,09/02/13 07:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 06:00:00,09/02/13 07:00:00,10501
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 06:00:00,09/02/13 07:00:00,9647
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 07:00:00,09/02/13 08:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 07:00:00,09/02/13 08:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 07:00:00,09/02/13 08:00:00,38
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 07:00:00,09/02/13 08:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 07:00:00,09/02/13 08:00:00,1352
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 07:00:00,09/02/13 08:00:00,1008
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 08:00:00,09/02/13 09:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 08:00:00,09/02/13 09:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 08:00:00,09/02/13 09:00:00,35
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 08:00:00,09/02/13 09:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 08:00:00,09/02/13 09:00:00,2718
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 08:00:00,09/02/13 09:00:00,1160
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 09:00:00,09/02/13 10:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 09:00:00,09/02/13 10:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 09:00:00,09/02/13 10:00:00,35
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 09:00:00,09/02/13 10:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 09:00:00,09/02/13 10:00:00,2106
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 09:00:00,09/02/13 10:00:00,1232
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 10:00:00,09/02/13 11:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 10:00:00,09/02/13 11:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 10:00:00,09/02/13 11:00:00,44
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 10:00:00,09/02/13 11:00:00,90194313216
